date,forecast
1970-01-02,0.8793014613498109
1970-01-03,0.8803425796423046
1970-01-04,0.8785795443853003
1970-01-05,0.8848686268222785
1970-01-06,0.8850562524982317
1970-01-07,0.8890478263243099
1970-01-08,0.887419104228386
1970-01-09,0.8871030506412974
1970-01-10,0.8890930564143817
1970-01-11,0.8877960748998646
1970-01-12,0.8867509686334277
1970-01-13,0.8870121772000408
1970-01-14,0.8885552755336331
1970-01-15,0.8895903392132887
1970-01-16,0.8878311796842638
1970-01-17,0.8941178968645319
1970-01-18,0.8943070756771366
1970-01-19,0.8982976100463098
1970-01-20,0.8966694584712589
1970-01-21,0.8963530112077152
1970-01-22,0.8983433560344263
1970-01-23,0.8970460797707578
1970-01-24,0.8960010797313945
1970-01-25,0.8962622693890372
1970-01-26,0.8978054144214823
1970-01-27,0.8988404480131806
1970-01-28,0.8970813078698325
1970-01-29,0.9033680125595562
1970-01-30,0.9035571994197016
1970-01-31,0.9075477286039803
