date,forecast
2500,0.0015492605403962228
2501,0.001700385392526413
2502,0.0017038181076045622
2503,0.0017038960797755298
2504,0.001703897850869054
2505,0.0017038978910984364
2506,0.0017038978920122239
2507,0.00170389789203298
2508,0.0017038978920334515
2509,0.001703897892033462
2510,0.0017038978920334623
2511,0.0017038978920334623
2512,0.0017038978920334623
2513,0.0017038978920334623
2514,0.0017038978920334623
2515,0.0017038978920334623
2516,0.0017038978920334623
2517,0.0017038978920334623
2518,0.0017038978920334623
2519,0.0017038978920334623
2520,0.0017038978920334623
2521,0.0017038978920334623
2522,0.0017038978920334623
2523,0.0017038978920334623
2524,0.0017038978920334623
2525,0.0017038978920334623
2526,0.0017038978920334623
2527,0.0017038978920334623
2528,0.0017038978920334623
2529,0.0017038978920334623
