Formated Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
0,0,0,-0.18493338613524493,-0.2586484829805358,0.7015686363045753,0.6562989667420873,0.5837069650049073,1.6418684814028421,0.0,-0.336890497905467,0
1,0,1,-0.19707532422246624,0.14637535075637784,0.5301239596791922,0.6796118718629569,0.6595929200390405,1.6418684814028421,0.0,-0.27814786030048627,0
2,1,1,-0.19476257411061465,-0.07545387466996699,0.7015686363045753,-0.9833753600924083,0.13787697917937486,1.4013929854876819,0.0,-0.24172742498539132,0
3,0,1,-0.30808732959135154,-0.3916948465580432,0.3586792830538091,0.6537086439508797,0.7544503638317069,1.6418684814028421,0.0,-0.18650934563671964,0
4,1,1,-0.25951957724246466,-0.29651552492182615,0.3586792830538091,0.16154731362141028,0.6595929200390405,1.6418684814028421,0.0,-0.17476081811572083,0
5,0,1,-0.2109518248935774,-0.2842343221300564,0.47297573413739785,0.6303957388300101,0.6501071756597738,1.4013929854876819,0.0,-0.1571380268342293,0
6,0,1,-0.3659060823876458,-0.430585322065315,1.044457989555341,0.3739537825004445,0.6595929200390405,0.025338758862046205,0.0,-0.1500889103216247,0
7,0,1,-0.25778501465857573,-0.33796458434404986,0.7015686363045753,0.6614796123245028,0.6690786644183071,0.025338758862046205,0.0,-0.13599067729642877,0
8,0,1,-0.04443381684024974,0.057592488907540554,0.30153105751201476,0.20558280107194174,0.6595929200390405,0.025338758862046205,0.0,-0.07372348143515248,0
9,0,1,0.2625837605080733,0.3293141006754509,-0.26995119790592836,0.39985701041252203,0.8493078076243734,0.025338758862046205,0.0,-0.091346272716644,0
10,0,1,0.4961715218051025,0.5360476810035786,-0.5556923256148996,1.2106280440605426,0.9536509957963065,0.3637857531130119,0.0,-0.06784921767465975,0
11,0,1,0.6135435899815802,0.639926187950633,-1.2986192576582258,1.5680925892472097,1.2002803496572394,0.4305845019783341,0.0,-0.030253929607466236,0
12,0,1,0.6817697182812079,0.7003087683435023,-1.2414710321164315,1.915195843269046,0.8682792963829067,0.3815987528104309,0.0,-0.047876720888957766,1
13,0,1,0.63320196593232,0.6573245585723069,-1.470063934283609,1.7131506655548432,0.9441652514170399,0.3815987528104309,0.0,-0.06080010116205512,0
14,0,1,0.7939380987060187,0.7995818242436425,-1.6986568364507864,0.858344144456291,0.6880501531768404,0.4305845019783341,0.0,-0.09722053647715008,0
15,0,1,0.7974072238737965,0.8026521249415852,-1.7558050619925805,0.0579344019731009,0.9346795070377732,0.3815987528104309,0.0,-0.17946022912411502,0
16,0,1,0.4308363311452901,0.4782236845256619,-0.9557299044074602,-0.1130269022466098,0.5837069650049073,0.3815987528104309,0.0,-0.21705551719130853,0
17,1,1,0.4476037694562156,0.4930634712323841,-0.7842852277820771,0.1796795731598642,0.3845063330403077,0.4305845019783341,0.0,-0.21470581168711145,0
18,1,1,0.3128860754408493,0.37383346079561697,-0.44139587453131146,-0.24513336459820415,-0.25103854037055773,0.3637857531130119,0.0,-0.2558256580105872,0
19,1,1,0.19724856984826067,0.271490104197534,-0.38424764898951713,-0.38760111811462933,-0.4786964054729573,0.3637857531130119,0.0,-0.25465080525848866,0
20,1,1,0.03130874932289622,0.12462738747928524,0.0157899298030435,-0.4264559599827455,-0.4028104504388241,0.3148000039451087,0.0,-0.2523010997542916,0
21,1,1,-0.0068516275226580894,0.09085407980191781,-0.04135829573875087,-0.8227753470375287,-0.27949577350835764,0.025338758862046205,0.0,-0.2616999217710933,0
22,0,1,-0.1178636328915432,-0.007395542532241816,0.13008638088663224,-0.5456108083783012,-0.25103854037055773,1.6418684814028421,0.0,-0.30516947359877955,0
23,1,1,-0.10919081997209916,0.0002802092126142971,0.0157899298030435,-0.9833753600924083,-0.35538172854249084,1.4013929854876819,0.0,-0.2922460933256822,0
24,0,1,-0.08606331885358151,0.02074888053223082,-0.8414334533238714,1.1173764235770642,-0.3743532173010241,1.6418684814028421,0.0,-0.4226547488087409,2
25,0,1,-0.13925657142617212,-0.2422735459248423,-0.612840551156694,1.1536409426539722,-0.3838389616802908,1.6418684814028421,0.0,-0.44615180385072517,2
26,1,1,-0.0068516275226580894,0.14637535075637784,0.18723460642842663,0.12528279454450195,-0.25103854037055773,1.4013929854876819,0.0,-1.091145964753414,2
27,0,1,-0.426037585295792,-0.47459296540249074,0.13008638088663224,0.1667279592038257,-0.0897808859230247,1.6418684814028421,0.0,-0.41443077954403773,2
28,0,1,-0.5347368405528254,-0.49557335350509757,0.30153105751201476,-0.5456108083783012,-0.270010029129091,1.6418684814028421,0.0,-0.41678048504823484,2
29,0,1,-0.4641979621413464,-0.5457215982381584,0.3586792830538091,0.47756669414875386,-0.5166393829900239,1.4013929854876819,0.0,-0.4120810740398406,2
